pageid,qid,P21,P27,P106,label_en
81237476,Q12567248,['Q6581097'],[],['Q33999'],Tursynbek Qabatov
81237503,Q136408857,['Q6581097'],"['Q96', 'Q717']",['Q937857'],Ángel Azuaje
81237720,Q136417425,['Q6581097'],[],[],Muhammad Nazmi Nasri
81237893,Q136417738,['Q6581097'],[],['Q4009406'],Bartosz Sienkiewicz
81238087,Q136417737,['Q6581097'],[],[],Yamato Shimbo
81238417,Q130622646,['Q6581072'],['Q183'],['Q2066131'],
81238418,Q136417734,['Q6581097'],[],['Q212238'],T. Albert Moore
81238520,Q136417914,['Q6581097'],[],[],Luis Carlos López Valenzuela
81238543,Q54400613,['Q6581097'],"['Q33296', 'Q129286']","['Q39631', 'Q333634', 'Q37226']",Faizul Hasan Saharanpuri
81238565,Q8265909,['Q6581072'],['Q148'],"['Q33999', 'Q10800557', 'Q4610556']",Leanne Fu
81238750,Q136418158,['Q6581097'],[],['Q4009406'],Yeferson Suárez
81238784,Q136417949,['Q6581097'],['Q30'],"['Q40348', 'Q82955']",Curtis Ludwig
81238853,Q136418156,['Q6581097'],[],['Q4009406'],Anton Feoktistov
81239099,Q136418314,[],[],[],2025 Manchester synagogue attack
81239114,Q17220486,['Q6581072'],['Q17'],"['Q622807', 'Q2705098']",Kyōka Moriya
81239271,Q113153563,['Q6581097'],['Q183'],"['Q82955', 'Q15978655']",Jonas Reiter
81239317,Q136428362,['Q6581072'],[],[],Lucy González
81239441,Q5493168,['Q6581072'],['Q29'],"['Q2722764', 'Q36180', 'Q947873', 'Q2526255']",Carmen Porter Ucha
81239465,Q136418641,['Q6581097'],[],['Q937857'],Azeez Zainulabdeen
81239515,Q136418636,['Q6581097'],[],['Q33231'],Saravanamaruthu Soundarapandi
81240037,Q107599074,['Q6581097'],['Q833'],['Q15253558'],Nadir Al-Nuri
81240051,Q136418735,['Q6581072'],['Q265'],['Q114414171'],Karomat Omonova
81240058,Q132420975,['Q6581097'],[],['Q937857'],Tadeáš Hájovský
81240079,Q136418816,['Q6581072'],[],[],Emily Aliño-Geluz
81240110,Q118378325,['Q6581097'],['Q736'],"['Q40348', 'Q82955']",Esteban Torres
81240449,Q136418968,['Q6581097'],[],[],Florencio Mamauag Jr.
81240535,Q136418964,['Q6581072'],[],[],Loida Posadas-Kahulugan
81240605,Q136419385,['Q6581072'],[],['Q193391'],Adi Cohen-Hazanov
81240673,Q2977059,['Q6581097'],['Q142'],['Q82955'],Claude Bourdin
81240783,Q59390142,['Q6581097'],[],"['Q1622272', 'Q19829990', 'Q1234713', 'Q14467526']",Holger Gzella
81240811,Q136419384,['Q6581097'],[],['Q11338576'],Bertie Scott
81240831,Q135742186,['Q6581097'],['Q183'],['Q82955'],
81240895,Q104272835,['Q6581072'],['Q36'],"['Q1650915', 'Q15839206', 'Q15634281', 'Q36180']",Julia Durzyńska
81240899,Q136419383,['Q6581097'],[],[],Gradus Kraus
81240955,Q136412890,['Q6581097'],['Q298'],"['Q116994205', 'Q47064', 'Q36180', 'Q1622272', 'Q2994387', 'Q121998']",Manuel Hormazábal González
81241011,Q5724160,['Q6581097'],['Q31'],['Q715301'],Eric De Rop
81241028,Q5945163,['Q6581097'],['Q7462'],"['Q3303330', 'Q1028181', 'Q49757', 'Q4964182']",Zhao Buzhi
81241154,Q136419579,['Q6581072'],[],[],Heather Hogsett
81241178,Q123492410,['Q6581072'],['Q736'],['Q82955'],
81241258,Q125473676,['Q6581097'],['Q148'],['Q17125263'],
81241296,Q136388719,['Q6581097'],[],['Q937857'],Afonso Assis
81241364,Q87066666,['Q6581097'],[],"['Q185351', 'Q82955']",Alexander Mohrenberg
81241390,Q27654211,['Q6581097'],['Q414'],['Q33999'],José Andrada
81241539,Q87127305,['Q6581072'],[],['Q82955'],Julia Barth
81241598,Q136419678,['Q6581097'],['Q668'],['Q114414171'],Atul Kaushik
81241599,Q136421213,['Q6581097'],[],[],Nyamtaishiryn Nomtoibayar
81241611,Q136387700,['Q6581097'],['Q36'],['Q36180'],Patryk Pufelski
81241694,Q136421134,['Q6581072'],[],['Q40348'],Mary Belle Spencer
81241715,Q9373641,['Q6581097'],['Q36'],['Q33999'],Wiesław Wójcik
81241869,Q136423039,['Q6581097'],[],['Q19204627'],Khalil Wilkins
81241873,Q115610899,['Q6581097'],"['Q31', 'Q1028']",['Q937857'],Ali Maamar
81241918,Q136421834,['Q6581072'],[],"['Q2722764', 'Q36180']",S. Saraswathi Amma
81242010,Q11343602,['Q44148'],[],[],Mejiro Ardan
81242045,Q1580918,['Q6581097'],['Q40'],"['Q1281618', 'Q1622272', 'Q33231', 'Q1925963']",Hans Kupelwieser
81242082,Q11384073,['Q6581097'],['Q17'],"['Q752129', 'Q19350898']",Humitaka Sato
81242152,Q24428750,['Q6581097'],['Q36'],['Q11338576'],Tomasz Sarara
81242269,Q3616980,['Q6581097'],['Q38'],['Q2159907'],Angelo Epaminonda
81242307,Q136424395,['Q6581072'],[],[],Kelly Cobiella
81242379,Q23564367,['Q6581097'],['Q183'],['Q82955'],Damian Lohr
81242432,Q136441796,[],[],[],Joseph M. Foley
81242510,Q27925137,['Q6581097'],['Q183'],['Q82955'],Sven Tritschler
81242585,Q21341524,['Q6581072'],['Q414'],['Q17344952'],Berta S. Gerschman de Pikelin
81242610,Q136428672,['Q6581072'],[],['Q14373094'],Rachel Iliya
81242664,Q136424353,['Q6581097'],[],[],Matt Bremer
81242695,Q61725714,['Q6581097'],['Q40'],"['Q2526255', 'Q20971250', 'Q205375', 'Q3455803', 'Q1414443']",Martin Reinhart
81242727,Q1555329,['Q6581097'],['Q183'],"['Q250867', 'Q611644']",Johann Neuhäusler
81242918,Q136428335,['Q6581097'],[],[],Azizur Rahman Bijnori
81242955,Q136428332,['Q6581097'],[],['Q19204627'],Steve Cushing
81242994,Q136428325,['Q6581097'],[],['Q82594'],Kashifu Abdullahi
81243370,Q136428435,['Q6581097'],[],['Q628099'],José Ángel Herrera
81243418,Q136428667,['Q6581097'],[],[],Lindel Fields
81243492,Q107622886,['Q6581097'],['Q183'],['Q82955'],Carlo Clemens
81243599,Q136428663,['Q6581097'],[],['Q937857'],Hugo Pavek
81243679,Q98075021,['Q6581072'],['Q96'],['Q937857'],Rebeca Zavaleta
81243694,Q114943875,['Q6581097'],['Q183'],['Q82955'],Lukas Reinken
81243722,Q127869948,['Q6581097'],[],['Q21009864'],Andrea Castagneri
81243747,Q114596920,['Q6581097'],['Q183'],['Q82955'],Brian Baatzsch
81243779,Q136428636,['Q6581097'],['Q1016'],['Q114414171'],Mahmoud Rajab
81243828,Q114600288,['Q6581097'],['Q183'],['Q82955'],Tim Julian Wook
81243870,Q136437397,['Q6581097'],[],[],Vadim Shulman
81243899,Q111396581,['Q6581072'],['Q183'],['Q82955'],Kira Braun
81243907,Q136428821,['Q6581097'],[],['Q16533'],John F. Callinan
81243909,Q29512567,['Q6581072'],"['Q127861', 'Q370173', 'Q124943', 'Q3087763', 'Q170468', 'Q79', 'Q12560']",['Q39631'],Tawhida Abdel-Rahman
81243937,Q136428819,['Q6581097'],[],[],Jim Jesernig
81243995,Q130368119,['Q6581097'],['Q183'],['Q82955'],Fabian Jank
81244059,Q115302025,['Q6581097'],['Q183'],"['Q1650915', 'Q82955']",Jonas Pohlmann
81244106,Q7139029,['Q6581072'],['Q17'],['Q1196276'],Ichijō Mikako
81244207,Q136458296,['Q6581097'],[],[],Michael Muñoz
81244234,Q12251644,['Q6581097'],"['Q262', 'Q142']","['Q212238', 'Q39631', 'Q82955']",Yahia Guidoum
81244246,Q102175340,['Q6581097'],[],"['Q901', 'Q1650915']",Jean-Michel Muller
